ip,port,country,latency_ms,packet_loss_percent,download_speed_mbps
192.9.250.241,443,US,1.5,0.0,0.0
104.17.254.233,443,US,1.55,0.0,0.0
104.18.194.65,443,US,1.56,0.0,0.0
104.18.1.192,443,US,1.57,0.0,0.0
104.18.173.77,443,US,1.58,0.0,0.0
162.159.152.11,443,CA,1.59,0.0,0.0
104.17.253.196,443,US,1.61,0.0,0.0
108.162.198.12,443,US,1.61,0.0,0.0
104.19.0.0,443,US,1.62,0.0,0.0
104.17.89.236,443,US,1.62,0.0,0.0
104.17.0.0,443,US,1.63,0.0,0.0
104.19.100.134,443,US,1.64,0.0,0.0
104.16.179.145,443,US,1.64,0.0,0.0
104.19.220.22,443,US,1.64,0.0,0.0
104.19.222.31,443,US,1.65,0.0,0.0
