ip,port,country
108.162.192.0,443,CA
162.159.140.116,443,CA
162.159.140.85,443,CA
162.159.153.216,443,CA
162.159.24.131,443,CA
162.159.58.65,443,CA
172.64.229.34,443,CA
172.64.52.127,443,CA
172.64.82.114,443,CA
172.67.64.0,443,CA
173.245.49.0,443,CA
198.41.208.15,443,CA
104.16.10.151,443,US
104.16.21.39,443,US
104.16.38.87,443,US
104.17.160.0,443,US
104.17.177.33,443,US
104.18.2.168,443,US
104.18.81.19,443,US
104.18.98.148,443,US
104.19.189.164,443,US
104.19.236.11,443,US
104.19.32.0,443,US
104.25.0.0,443,US
104.25.32.0,443,US
104.26.4.90,443,US
104.27.64.0,443,US
