IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.0.0,4,4,0.00,3.72,596.89,ORD
172.67.96.0,4,4,0.00,4.20,158.03,ORD
104.25.64.0,4,4,0.00,4.33,147.97,ORD
198.41.208.52,4,4,0.00,4.56,136.38,ORD
172.64.52.127,4,4,0.00,3.88,124.20,ORD
173.245.49.194,4,4,0.00,4.21,111.94,ORD
104.25.128.0,4,4,0.00,4.58,107.50,ORD
172.67.127.31,4,4,0.00,4.00,104.82,ORD
104.18.221.108,4,4,0.00,4.36,102.86,ORD
104.25.192.0,4,4,0.00,4.51,102.64,ORD
104.17.224.0,4,4,0.00,4.60,101.18,ORD
104.18.255.167,4,4,0.00,4.24,78.58,ORD
198.41.211.0,4,4,0.00,4.30,62.20,ORD
